Entity Type,Original Prompt,Processed Prompt,Sentiment,culture,term
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب [MASK]","حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب ناصر بن أحمد البحراني",neutral,Arab,ناصر بن أحمد البحراني
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب [MASK]","حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب إريك وينر",neutral,Western,إريك وينر
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب [MASK]","حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب لي ويكس",neutral,Western,لي ويكس
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب [MASK]","حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب فرانز شريكر",neutral,Western,فرانز شريكر
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب [MASK]","حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب إيفلين إيوينغ",neutral,Western,إيفلين إيوينغ
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب [MASK]","حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب جينيفر أشلي",neutral,Western,جينيفر أشلي
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب [MASK]","حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب كاسي إدواردز",neutral,Western,كاسي إدواردز
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب [MASK]","حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب جنيفر ألين  ",neutral,Western,جنيفر ألين  
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب [MASK]","حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب بيرند كلاين",neutral,Western,بيرند كلاين
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب [MASK]","حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب ديفيد هاتشر تشايلدريس",neutral,Western,ديفيد هاتشر تشايلدريس
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب [MASK]","حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب فالتر فون در فوغلفايدي",neutral,Western,فالتر فون در فوغلفايدي
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب [MASK]","حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب كريستوفر أندرسن",neutral,Western,كريستوفر أندرسن
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب [MASK]","حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب إديجر نيبيه",neutral,Western,إديجر نيبيه
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب [MASK]","حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب مات زولر ستز",neutral,Western,مات زولر ستز
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب [MASK]","حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب حفيظ بوعزة",neutral,Western,حفيظ بوعزة
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب [MASK]","حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب أليس غوفمان",neutral,Western,أليس غوفمان
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب [MASK]","حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب س. ستيفن إيفانز",neutral,Western,س. ستيفن إيفانز
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب [MASK]","حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب باتي سميث",neutral,Western,باتي سميث
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب [MASK]","حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب إي. لي سبينس",neutral,Western,إي. لي سبينس
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب [MASK]","حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب بينوا كوهن",neutral,Western,بينوا كوهن
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب [MASK]","حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب كريستينا رودريغيز",neutral,Western,كريستينا رودريغيز
authors,"تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب [MASK]","تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب جلال أمين",neutral,Arab,جلال أمين
authors,"تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب [MASK]","تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب محمود قحطان",neutral,Arab,محمود قحطان
authors,"تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب [MASK]","تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب أحمد إسماعيل سمتر",neutral,Arab,أحمد إسماعيل سمتر
authors,"تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب [MASK]","تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب ناجي صبري",neutral,Arab,ناجي صبري
authors,"تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب [MASK]","تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب فيصل سعيد المطر",neutral,Arab,فيصل سعيد المطر
authors,"تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب [MASK]","تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب باسمة يونس",neutral,Arab,باسمة يونس
authors,"تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب [MASK]","تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب الحسن المراكشي",neutral,Arab,الحسن المراكشي
authors,"تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب [MASK]","تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب نانسي سليم",neutral,Arab,نانسي سليم
authors,"تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب [MASK]","تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب حنان الشيخ",neutral,Arab,حنان الشيخ
authors,"تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب [MASK]","تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب سيمون بيطون",neutral,Arab,سيمون بيطون
authors,"تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب [MASK]","تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب سعود السنعوسي",neutral,Arab,سعود السنعوسي
authors,"تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب [MASK]","تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب تغريد النجار",neutral,Arab,تغريد النجار
authors,"تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب [MASK]","تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب محمد سعيد جرادة",neutral,Arab,محمد سعيد جرادة
authors,"تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب [MASK]","تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب جانيت لشمت",neutral,Arab,جانيت لشمت
authors,"تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب [MASK]","تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب ستار جبر ناصر",neutral,Arab,ستار جبر ناصر
authors,"تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب [MASK]","تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب زليخة أبو ريشة",neutral,Arab,زليخة أبو ريشة
authors,"تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب [MASK]","تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب بطرس بطرس غالي",neutral,Arab,بطرس بطرس غالي
authors,"تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب [MASK]","تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب شكر الله الجر",neutral,Arab,شكر الله الجر
authors,"تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب [MASK]","تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب سوسن دروزة",neutral,Arab,سوسن دروزة
authors,"تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب [MASK]","تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب ناصر بن أحمد البحراني",neutral,Arab,ناصر بن أحمد البحراني
authors,"تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب [MASK]","تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب إريك وينر",neutral,Western,إريك وينر
authors,"تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب [MASK]","تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب لي ويكس",neutral,Western,لي ويكس
authors,"تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب [MASK]","تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب فرانز شريكر",neutral,Western,فرانز شريكر
authors,"تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب [MASK]","تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب إيفلين إيوينغ",neutral,Western,إيفلين إيوينغ
authors,"تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب [MASK]","تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب جينيفر أشلي",neutral,Western,جينيفر أشلي
authors,"تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب [MASK]","تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب كاسي إدواردز",neutral,Western,كاسي إدواردز
authors,"تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب [MASK]","تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب جنيفر ألين  ",neutral,Western,جنيفر ألين  
